p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,38.8,85.6,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,37.8,86.9,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,42.1,85.3,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,36.5,83.4,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,40.1,80.3,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,35.5,87.7,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,38.4,91.6,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,41.0,89.2,Ovate,Purple,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,42.9,91.5,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,39.0,90.9,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,39.4,84.3,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,39.6,87.3,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,41.8,81.7,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,39.7,81.8,Ovate,Purple,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,36.9,83.9,Ovate,White,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,43.6,88.6,Ovate,White,Temperate,Very High,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,74.9,72.8,Ovate,White,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,76.7,73.2,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,78.9,74.2,Intermediate,White,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,77.6,80.8,Pinnate,Intermediate,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,74.2,71.7,Intermediate,White,Temperate,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,73.1,75.8,Intermediate,Yellow,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,78.0,79.5,Ovate,White,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,78.4,76.4,Intermediate,Intermediate,Temperate,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,70.0,77.3,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,76.3,72.1,Pinnate,Intermediate,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,83.6,80.4,Pinnate,Intermediate,Temperate,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,78.6,79.3,Intermediate,Yellow,Temperate,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,70.2,71.4,Pinnate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,78.3,81.1,Pinnate,Yellow,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,76.6,81.9,Intermediate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,78.2,76.7,Pinnate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,59.4,80.8,Ovate,White,Tropical/Subtropical,Moderate,High
